,Clean_Text
122,found passed exams margin marks
123,father ill waiting results tests
124,got caught pouring rain Thursday raincoat me
125,failed exam
126,Sm÷rgasbord table man mixed differnet kinds picked herrings fruit salad
127,prepared contribution group thoroughly members result overall result poor
128,father worked house recovered illness lazy meant work hard later
129,gave birth son saw alive managed well born month early malfunctioning lung happened year ago
130,found father lung cancer know long live
131,colleague asked help work despite fact time had
132,salary increase expecting understood little ones work appreciated
133,weeding garden found lizard hand
134,met friend seen long time heard troubles thought got touch earlier
135,got angry mother trivial bad mood father ill knew mother needed support reacted wrongly
136,New years eve 1983/1984 met girlfriend stood steps outside parents home kissed time
137,stopped plain clothes policemen car driving overturned Avenue driving fast afraid stopped questionned toild go situation ended happily consequences
138,editor changed heading article written considered heading derogatory person written about
139,close acquaintance family died lung cancer expected felt depressed
140,saw picture Gothenburg Post totally demolished car fatally injured passengers car badly damaged bodies scene accident
141,night sexual intercourse man sexual desire curiosity jump bed him ashamed now
142,laziness failed term studies completely University wanted extent protest parents expectations
143,got loan studies
144,met intoxicated people dubious intentions alley Wednesday night
145,TV saw news feature South Africa policeman attacked group black people whip
146,thought read boring book 400 pages English
147,Grovelling people
148,inability assert positively group
149,experience feelings guilt study enough
150,Observing cafeteria noisily gulping food extremely bad manners
151,guess ashamed talked badly people
152,angry unpleasant parents
153,sister  history abortion stillbirth  gave birth perfectly healty boy
154,sister born child emotionally deep down took long time recover
155,starting student project teacher talked negative helpful
156,boyfriend openly let down preferring girl
157,felt disgust boyfriend time left me
158,Cant think any
159,accident aunt offered seat car driver declined took seat killed car crashed
160,Unexpected visit close friend seen half year
161,wandered mistake safety zone shooting range shot at
162,treated unfairly
163,Breaking girl
164,Little contact father died
165,accepted student college thought possible
166,arrive scene accident found close school friend killed
167,accused something got angry
168,grandmother died
169,applicable
170,couple years ago summer holiday fishing lake husband Suddenly started raining sun shining experienced feeling joy happiness fulfillment nature music
171,home bed reading womens magazine storiees paranormal experiences leg itching stretched hand scratch felt strange hand (later realized corner blanket)
172,went lecture cancelled second time negative attitude lecturerá
173,heard superior died later home home reading newspaper thought interaction longer possible limited scope human life sad
174,tram fat sickly looking woman asking directions thick voice got disgusting smell urine came her felt choke
175,home husband I remark done perfectly friendly manner deed unjust knew husband right sense shame
176,remark sister concerning attitude men way talked compared acquaintance mine Later evening sister looked sad felt guilty sadness
177,summer job Sweden boyfriend came meet birthday
178,went practice Sweden summer afraid well
179,holiday cottage association pals came wake early morning bringing radio played highest volume room  morning service loudest
180,grandmother died suddenly summer
181,superior summer job swindled customers could difficult situation detest him
182,arrived hours late work place (a bank) feeling feeble tired
183,association Polish visitors going boat (I chairman association)
184,told unexpectedly wanted vicechairman student organisation surprised joy emotion felt worry  shall succeed 
185,tutorial group soon divided got list names freshmen group read names group went way seminar room wondered cope new situation succeed group leader
186,disco evening pleasant Despite knowing why angry companion let feel bad humour hide feelings
187,grandmother died mother called sunday morning Autumn way mother told it hated moment sounded waiting death grandmother lost person close me felt guilty bad grandmother late remained calm longer understood well
188,underground station drunkard came speak me tried ask answer began speak companion detested dirty growling man
189,worried task related studies groups two talking friends said negative abrupt manner concerning work partner mean said felt ashamed mean criticize friend mine
190,told boyfriend want relationship knew important wanted free saw difficult remained firm change mind
191,night chat fellow student known half year time speaking \the language\ meaning inspiring discussion encounter
192,hearing death grandfather believe it later wept felt situation hopeless felt lonely wanted consolated
193,evening watching TV little brother came started eating food brought kitchen trying concentrate program
194,little brother arrested police railway station drunk beer
195,temporary job restrict others actions obey me gives feeling guilt wish way acting
196,met dear friend long time expressed feelings usual way mutual scolding abusing (with complete understanding) touching patting taking hand person etc
197,felt fear purest kind car accident incident images horror kept coming mind wondered happened sister friend me actually happened
198,boys know telling me indecent manner teased young shy girl know despised conviction scorned touched her got angry try conceal gave them
199,sweetheart left me decided break mutual consent consequences  unrestrained weeping feelings loneliness hopelessness disconsolation felt find friend talk joyfully forget
200,sheer curiosity went pornographic movie Copenhagen room men panted masturbated disgusting
201,quarelled unnecessarily reason stupidly cross way
202,Forced fill questionnaire
203,tennis match
204,dog ran thin ice spring
205,tennis match interrupted kid cycled right court
206,Celebrations graduation day orchestra playing garden ( orchestra)
207,Risk involved fight party
208,heavy work load colleagues against disturbed \terror ringing\ ie continously interrupting telephoning
209,exam failed
210,overtook car mainroad misjudging distance oncoming car resulted tooting flashing driver (we collided) acquaintance car me
211,saw neighbour appartment block me lying road injured ill kept 20 metres away help him
212,met old schhol friend (school love) works Sk+vde
213,cycling school nearly got knocked car (overtook closely) swerving space
214,deputy manager Summer certain deputies took liberties normal
215,realized girlfriend like going separate
216,Dog dirt thaws spring
217,forgot mothers birthday
218,Passed exam
219,nearly knocked car
220,reached bus stop realized forgotten bus pass
221,current work load much feeling comes time time
222,year old son gives spontaneous kiss
223,close travelling car delayed
224,wrong affects negatively
225,think parents getting old
226,time peoples problems motherinlaw depressed time desire strength help
227,excolleague asked interested working accounts bureau needed \clever people\ \immediately thought me\
228,driving deer suddenly appeared car lot traffic me
229,saw report TV news apartheid South Africa
230,girlfriend pregnant
231,nearly collided car
232,time let air tyres cycle
233,read lot remember anything
234,time dog sleep
235,Long illness
236,passed exam
237,travelling tram tripped fell door thought going fall out
238,missed tram run it
239,inability read book college
240,guy interested makes advances
241,drink wine often
242,study understand properly
243,worked lawyers office Summer got good reference him
244,watching triller dark night country outside toilet own
245,accused done unbelievably angry
246,began read thick book limited time read lot work up
247,vomited street
248,think incident felt ashamed small incidents ashamed of instance sending money children Ethiopia
249,lunch exboyfriend mention fiancee felt guilty despite fact felt exboyfriend
250,finally qualified profession
251,attacked knife
252,drove car denied happened
253,told friends wife cancer
254,saw dog knocked car
255,boxed childs ears
256,fined speeding
257,stopped working (had boring job)
258,going home car late night cold dark windy panicky way house
259,Quarrel family
260,room contact  loneliness drains me
261,holiday vomited me
262,Emptied bucket water hospital
263,feigned sick leave work
264,hug love
265,driving fast small road met oncoming car right handed bend driver road skid avoid collision dark
266,car towed away traffic police wrongly parked sign parked
267,operation stay bed long time
268,forced stay canteen eat food asked got anyway
269,buy promised to
270,mistake took book library supposed loaned out
271,unexpected sum money
272,2 year old daughter disappeared moment inattention responsible her
273,colleague asked advice confidence asked person
274,wanted pregnant succeed depressed menstruation
275,warm bus people vomited bus stank
276,complained colleagues behaviour goes word absent irresponsible found alcoholic trying fight againt addiction
277,spoke mother phone skin cancer waiting operated forgot ask date operation finishing conversation gave date passing
278,party met old friend adult education course met 2 years thought lot other wonderful experienceá
279,cycling park late night people jumped woods tried stop me shouting time
280,close relatives tried dissuade studying Psychology low status
281,long discussion politics acquaintance knowledgeable failed explain point view misunderstood felt depressed left
282,read newspaper article young girl raped assaulted night men unconscious
283,mother revealed personal details negative aspects character people present unable defend myself
284,unfaithful partner working abroad long period
285,recently got appartment central Gottenburg
286,saw large spider crawling wall
287,employer took aspirins bad drank enormous spirit dangerous understand wrong
288,left New York family friends me
289,slept guy best friend wanted to intercourse terrible complex it
290,dated close girlfriends boyfriend times told accepted it found finished friendship
291,broke boyfriend years unexpected particular reason break up else
292,son returned mountaineering  healthy body soul
293,meets new people forced collaborate with
294,sports fishermen catch gulls instead fish hooks mistake makes angry
295,feel sad event influence
296,member family complains food served disgusts me
297,recall incident felt shame
298,chosen son private school examination marks low time gives term results left sense guilt
299,informed accepted student Psychology
300,little fishing boat ran hard weather open sea
301,found guy dating particular time steady relationship going long time
302,felt sad depressed heard cat died
303,working nurse mental hospital patient ate contents patients spitoon
304,primary school vomited middle lesson
305,arrived hour late important meeting ( misunderstood time)
306,acceptted student psychology
307,son pain leg (for apparent reason)
308,When week school teacher sent note home saying son inattentive unable lessons
309,thought going impossible start studying (due wrong information student advisor)
310,certain persons lack cleanliness home personally
311,mistake accused of obvious pereson
312,lost valuable sister
313,son born
314,nearly drowned icy water wearing ice skates difficult out
315,pointed problem child primary school mother took teachers point view
316,accused neglecting work wrong reasons
317,parents attitude reconciled despite fathers longtime addiction
318,caught stealing money father
319,stole coconut cake reception table mouth realized host watching me
320,10 months national service \downgraded\ remaining 5 months
321,reprimanded manager hotel worked Autumn 1984
322,parents drove nearby place went home immediately instead waiting hours easily waited
323,exgirlfriend discovered certain risk pregnant
324,clean draining board saw looked underneath sink (I live students hostel)
325,mother caught masturbating
326,person family academics ought looked younger (and only) sister better respect education life experiences
327,older sister told thinking joining rest family winter sports holiday
328,Slept chapel middle night realized someeone chapel discovered there
329,high school guys provoked friend mine called pig grunted irritated girls Once girls got angry friend said nasty terribly angry
330,talked boyfriend phone high spirits lot tell him looking forward conversation listen extent anticipated
331,mother shouts child nothing
332,complained mother untidy kitchen loooked boxed ears ( happened before)
333,home midnight called home 1130 asked leave door open in actually woke family calling late mother sleep conference day needed sleep
334,got day department
335,cycling past parked car opened door nearly pushed bike traffic
336,boyfriend sat half night playing computer games friend
337,leave mother sister weeks visit
338,saw big spider close
339,asked friend return money loaned remembered repayed ways
340,parents insinuates (they divorced)
341,asked childs godmother
342,way ski slope difficult steep
343,mother interfered life
344,left weekend prepared it
345,time saw surgeon cut leg black rubbish bag
346,forgot meeting work
347,demand friends
348,husband suddenly came new job brought flowers cake him
349,nearly attackad man chasing me
350,father asked communist time clear longer daughter
351,applied job thought good chance getting granted interview job
352,TV features showing violation defenceless people
353,child 9 10 playing doctor neighbours boys mother caught us
354,husband talked restrictions accept life marriage work felt directed demanded changes marriage counsellor then
355,able afford new sofa  leather cost SEK 20000 waited 23 years
356,Vertigo  standing ladder painting house
357,boss enrolled course satisfy ends  trample associates misfortune superiors course
358,argue mother way treats children differently
359,Spit vomit
360,Spots seat covers husbands car
361,speaking sisterinlaw lack interest relationship side
362,recently managed consulting assignment \myself\ ie initiative
363,hairs breadth knocking drunkard suddenly ran street fear came later realized happened
364,friend usual forgot tickets home performance missed it
365,elections 1982 1985 thought social democrat communist majority achieve especially \worker share\ funds extension
366,study visit chicken factory : butchery smell environment noise
367,Confession parents involvement moped theft
368,appointed position trust group set change working environment
369,cottage stay in woken rustling sound middle night
370,tried explain plumber face face toilet broken believe (it mended times)
371,result project work treated nonchalantly intead criticized teacher
372,programmes violence pornography shown TV
373,talked maliciously colleague work else Immediately felt ashamed
374,decided week holiday consulting family first
375,girl talked things relationship changed positive diificult time turned pleasant one
376,land plane knew fuel running out Bad weather frightened us
377,read Reagans tactical decision concerning South African boycott
378,half brother seriously ill cancer died later
379,film woman attacked raped worst desired effect  strong
380,comment interpreted completely differently meant said realized mother understood it
381,promised visit girlfriend different reasons it rang later tell come
382,offered high position trust later accepted
383,window open door shut kitten out partner came started talking forgot window suddenly saw kitten hanging window frame rigid fright till got hold her
384,noisy guests arrived hotel slightly irritated earlier night trying sleep party went yelled them wanted sleep early day
385,told successful getting job expecting sure sufficiently qualified
386,cat vomited worm came alive forced wipe up
387,child found taken clothes outdoors summer friend woods felt exciting time parents discovered trousers felt ashamed
388,stole money mother asked later responsible admitted it
389,Cycling spring sunshine gives delight Happiness healthy wonderful finance Simply earth
390,relationship family poor fear excluded group fear stronger situations argument hand
391,Recently sister years younger spoiled shouted mother apparent reason  heartbroken expression mothers face feel angry
392,watched TV programme called \The living planet\ saw far reaching environmental destruction caused man
393,Disgust feeling experienced peoplie  hand repulsive animals ie snakes TV
394,relatives acted strangely unfriendly me
395,due hunger tiredness generally irritated fiancee cutting remarks hurt him Later realized unfounded irritation hurt person love earth
396,boat trip Denmark 14 lot fun spent SEK 10 armed bandits odds jackpot SEK 1000
397,rainy day cycling downhill car door suddenly opened trying avoid wheels bike got caught tram tracks somersaulted injuries
398,way home Marstrand driving fathers car car tried push father forced swerve collided car pillar car drove seeing happened
399,girlfriend spent 6 months abroad broke relationship letter
400,police centre man 4050 brought in drunk likelihood slept indoors long time relieved trousers
401,customer shop worked came asked goods ordered arrived totally forgotten order tried offer weak excuses
402,45 years old hid bicycle keys good friend hours pretended found it
403,endofterm party week fun  happy sang drank soft drinks possible good time alcohol
404,Summer walking beach bikini awful man came cycling me shouting ran fast legs carry me
405,course thought deserved good marks got ordinary marks justification given marks
406,crashed car scrapped then fault feel depressed miss car
407,sort stomach virus week vomited college morning cake shop times trip home got home
408,evening school teacher job coffee able coffee ready time arrived half hour late class coffee undrinkable
409,years ago friend wanted southern Europe preferred travel alone felt guilty wanted own
410,felt love returned
411,convinced someonne broken flat woke heard sounds frightened me
412,clear man people sexually psychologically despite fact people looked him understood trust forced hide while
413,feel helpless tried help result
414,think way father behaved filing divorce
415,8 year old wet school
416,7 year old stole money mother
417,recently got positive answer clinic telling willingly assist collect data clinical pilot study
418,time meet certain dog bitten me
419,lot provocation child threw plate floor
420,realized communicate properly closest friend
421,tried explain child magazines wiith naked girls kiosk
422,stole packet cigarettes neighbour day owned returned it
423,forced decline invitation mothers 70th birthday work committments area
424,began dansing teacher came told good soon ballet academy
425,late Saturday night found locked central underground station Stockholm group 50 hard rockers drunk equipped kinds chains etc
426,forced telephone company bill concerning disconnected phone belonging landlord bill months overdue phone intention phone reconnected
427,read think way people treat animals nature
428,saw TV programme animals film world (mistreated used)
429,13 years old wrote passionate love letters boyfriend later found sister read them
430,\hated\ mmy flatmates nice me
431,6 month old son happy well
432,year girl ran away father straight car forced use emergency brakes
433,colleague failed contact arranged time
434,read racist slogans walls
435,Swedens arms exports
436,promised
437,gave birth healthy boy
438,husband spent night house area outskirts large town familiar heard strange noises outside house house glass walls thing frightening
439,Jealous husbands old girlfriend met husband lot reminiscing
440,daughter problems friends predicament window given cold shoulder
441,auxiliary nurse hospital change nappies time old sick woman
442,friends found lying particular occasion
443,middle child difficult handle birth baby brother patience him
444,husband decided days holiday particularly trying period
445,hospital visit prior DC anasthesia expected miscarriage
446,Exchange points view sister family matter
447,Treatment pregnant negative result
448,woke morning went kitchen discovered dog diarrhoea small \piles\ floor smell choking
449,young 6 7 toilet time hid dirty trousers cellar feared itá discovered parents
450,work boy injured lack supervision
451,gave birth child saw normal breast
452,labour foetal sounds faint big alert forceps delivery
453,cash desk gone buy 16 rolls kitchen paper reduced price queuing screaming children turned taken 8 roll packets instead 16 roll packet rebate applied assistant said \You time\
454,heard Tage Dannielsson died
455,lift Stockholm central station stank vomit urine
456,train drunk person touched baby reacted disapprovingly felt ashamed later person aggressive been
457,irritated son screams sick clean clothes
458,high school entrance exam
459,gang screaming drunk youths \captured\ tram
460,unjust refree decision sports event team leader
461,girlfriend left me
462,dominated certain person knew change reactions
463,given detention secondary school
464,splashed child slowing driving puddle water
465,Yesterday final whistle blew final match OIS IFK certain OIS Swedish title
466,teaching drive crash scared
467,drummer borrowed drums destroyed drumskin sticks repair tell it
468,dad gives priority kid brothers band activities play different bands rehearse parents garage
469,friend unjustly blame relieve conscience spread lies purpose
470,behaviour recent party passed early luckily
471,face face deceived friend sleeping wife
472,dived sharks brightly coloured fish outer reef Tvavni Fidgi
473,missed crashing hairs breadth man came 20 metres ahead driving 110km/h
474,told computer teacher want teach beacause prejudice
475,bad back
476,discovered house hired Tonga cockroaches
477,excreted mat instead potty
478,pulled chair kindergarten hit head
479,passed driving test weeks ago got licence
480,car driving skidded icy road landed ditch rock
481,met friends seen 24 years
482,guy chased jogging
483,morning newspaper arrived
484,feel unbelievably happy relationship boyfriend me reoccurring feeling
485,reoccurring fear happen relatives
486,argue boyfriend feel feels superior me
487,failed exam Summer worked hard disappointed thinking hopeless continue college overreact
488,argue sister feels upper hand use it argue better makes terribly angry
489,happy got attractive Summer job
490,birth child
491,leave baby carriage shopping fear happen baby
492,Winter water pipes froze water days
493,succeed breast feeding baby
494,smell garlic rushhour bus
495,fell ground crossing street cap covered eyes felt \difficult\
496,twomonth old baby came here university attend lectures leave baby father felt guilty
497,Christmas holidays met old friends seen months
498,driving car friend turned wrong direction unknown district nearly drove precipice
499,religion teacher presented shocking sectarian thoughts dooms day official teaching
500,grandfather died exchange student USA
501,happened videotape movie \This America  one\ friends place
502,insulted couple good friends tried hit drunk day ashamed course
503,stole carrots got caught apologize owner
504,undergrounds escalator youngish bum asked money anything fellow told goodlooking man turned look me
505,afraid moving away home moving Helsinki studies
506,student kitchen share somebody drank juice pot (one litre) got glass pot
507,father gave money brother me
508,weekend home mother fries greasy unhealthy meat dishes feel sick
509,wearing slippery shoes tumbled place people walking by
510,ate Runebergs cake knew immediately kilo
511,pm went home bike dark cycletrack lack time shortcut
512,home foot 5 am pass forest going alone
513,missed train wait hours reason missed appointment important me
514,grandmother died lived years
515,went home train Sicilia molested man
516,lied time later person found told truth
517,decline appointment important person reason got trouble
518,person bad terms gave present reconciled
519,friends father died come friend know family
520,watching TV friend film wanted watch film channel friend switched cannel asking wanted
521,boyfriend seperated initiative
522,friends boyfriend treated badly let serve him provoked utilized her
523,lied person thought tell truth found angry understanding talked thing over
524,told person unpleasant things bad manner depressed caused accident
525,considered hours able overcome scruples friend fallen love realized decision right  glad
526,slept short time woke  feeling standing frightened turn light turn light minutes able sleep again
527,moved flat friend lived before left flat terrible mess angry sloppiness impudence
528,father complicated operation long time long time that know it time felt sad
529,tramwaycarriage: stranger insulted girl blew nose detested behaviour
530,recently realized erroneous views life instance lived people forgotten person suppressed feelings ashamed concious conversation person
531,quarrel near persons said illconsidered things regretted late
532,summer sailing friends Greece felt joy
533,riding friend car speed 120 km/h snowcovered motorway liked out
534,Meeting male friend wife affair
535,Walking beach friend (another girl) talking picking shells laughing chasing seagulls
536,Climbing mountain view suddenly came ledge nearly sheer drop side cross
537,friend suggested roundabout way reason late me Im late know partly true felt unjustified particular time felt (ie late)
538,Talking good friend bad experience changing way looking life etc
539,came group people basic ideas/beliefs fighting going good
540,working job work quickly enough told work standard
541,wasted time instead needed friend (Also time wasted things consider morally right)
542,meeting old friend mine
543,brother late arriving home work
544,fight best friend
545,dog died
546,movie saw effect white settlers Africa
547,got bad result assignments
548,Leaving friend dance  felt kept company
549,realised forgiven God there realised God loves acceptance based performance  loves unconditionally showed love Christ died need forgiveness
550,Fear  paralysing  accepted God believed \morally bankrupt\ (before Christian realising Christ came free sin forgive us)
551,fathers treatment mother disregard her committed her
552,lack love father mum sadness realise love happiness them is damaging apart mum
553,capable selfishly sexual encounters held vision deepening aboveboard (you know \girl door\) devotion girl head drives actions match consequently felt disgusted failure
554,people sexual experience detriment both Anxiety affected worst
555,above: guilt living moral expectation guilt type person patents wanted guilt bloody everything realising failed drastically eyes
556,rockclimbing absailing  felt OK suddenly going cliff hit fear  absailing cliff actually hauled it
557,told boy friend park certain place car ger towed away  listen towed away stage finances poverty line  cost $1000  money week (including rent)
558,sister scholarship Norway particularly walked tarmac plane looked us
559,work parttime shopassistant customer spoke loudly Indian man  white woman children  horrible want little dark children
560,mother told uncle Roman Catholic Priest (Redemptist Father) living defacto relationship years very angry me
561,\snapped\ abruptly mother said silly stupid (in people) looked defenceless  hurt  told Im that
562,received wedding invitation exflatmate enclosed small note overcame lot differences arisen circumstances left flat
563,afternoon helping home property (mustering) getting cattle bull turned came me
564,Getting terrible exam mark understand reason for trying lecturer tutor given runaround
565,Watching old lady running street catch bus miss it reminded mother dreadful situation
566,Coming home night  sister home drinking heavily started picking arguments
567,travelling car meet oncoming car overtaking
568,close relative treated badly
569,close friend died
570,saw starving people Ethiopia TV felt awful suffering
571,mistake occurred work responsible for disclosed later
572,called boyfriend asked live him
573,Summer Italy attacked dogIt terrible feel untidy dirty dog naked skin
574,fathers new fiancee treats like child trust constantly misunderstands me particularly angry says nasty things boyfriend works
575,guy love told met meet year steady relatioship affair
576,love guy returned
577,think death  parents brothers sisters
578,parents approve choice boyfriend (now exboyfriend) happened 13 years older considered completely unsuitable me IDIOT
579,uncle comes (3 times year) traditional Christmas dinner grandparents relatives drunk
580,living home Summer vacations end decided clothes belongings appartment Guttenburg finished went exboyfriends (relationship uncertain) home stayed till 5 AM leave parents needed car work morning parents like boyfriend
581,met present boyfriend boat trip England said got Sweden (we going town England) soon walked called England wait till came home
582,mothers heart nearly stopped
583,sofa flat belonged old tenants acquaintances picked year ago postponed it Eventually decided date stayed home despite fact things do come got touch me
584,exboyfriend separated
585,intoxicated men incite fight met vile smelling man tram got closer closer till got up got angry
586,nephew asked tell story simply energy will saw disappointment terribly guilty read story all
587,fell love
588,Earlier afraid speaking crowd people
589,girl went guy
590,setbacks
591,worked harbour emptied latrine containers lorries
592,day night drank party
593,accepted student Psychology Gutttenburg
594,woke middle night jumped shouted fear thought someones cold hand similar touched hand crept covers went sleep
595,young teenager (14) brotherinlaw heavy advances me understand reacted strongly feelings there
596,broke partner wanted friend lover reacted violently felt guilty desperately unhappy
597,dinner friends appreciated much
598,nearly knocked cycling
599,father argument help home
600,intercourse realized wrong disgusted me
601,said nasty things mean friend
602,intercourse
603,Disappointment friend
604,Quarrelled younger brother
605,woke nightmare
606,Helping older people toilet
607,Squeezed puppy door
608,notified accepted Psychology student
609,Motor failure boat outside Gottenburg heavy seas wind strong steer boat drifted rocks succeed attracting attention passerby 4 hours elapsed
610,lady live bothered clean went holiday (I live collective)
611,heard good friend committed suicide
612,present found shopkeeper dead shop shot shotgun close range
613,mother accused visiting hospital eye operation
614,debut Ullevi IFK Gottenburg got good write paper
615,78 years old woke night found home mother gone buy cigarattes machine
616,found failed pass exams term point fact exactly thing happened term help
617,touring Asia present football team saw old Europeans young asiatic prostitutes
618,evening class teacher got positive feedback atmosphere good kind relaxed understanding exists
619,mischieviously ringing chemists tradeentrance doorbell getting caught him
620,sight man ran amok (fighting) dance
621,work
622,mouth bun drank directly packet milk turned weeks old (completely separated) took milk seep bun
623,boy shot dead squirrel
624,accepted supervisor student teacher notification came post
625,involved car accident November fall snow lost control car spun round landed opposite road hard shoulder stopped pole bank sloping stream
626,job appointments committee headmaster charge explained male teacher suitable particular post years service male teacher taken consideration given attractive job things gone way headmaster wanted
627,colleagues 17 year old daughter seriously ill cancer year live heard 6 weeks ago
628,close friend met station middle night came long tiring journey
629,quarreled boyfriend threatened leave me
630,meeting spite agreed come
631,understood marriage falling apart decided legally separated
632,antipornography meeting samples films magazines shown
633,Comments children alcoholic father
634,failed help 5th March arrangements (Womens Day) previously promised work
635,able buy new car lots problems
636,car accident woke heap stones
637,tried tent years ago teased hindered cousin
638,grandfather died
639,RESPONSE
640,Hit dog car stop
641,Car accident let 16year old incompetent parson wheel feel guilty happened suffered worst injuries
642,admitted certain school student
643,father chronic desease autumn 1983 strong fit seizure
644,drunken friend beating friend drunk
645,certain job Lillehammer wanted much
646,boss job failed promise knew extremely important me
647,exam questions specific knowledge asked
648,hit little sisiter head stone fighting
649,father managed begin \new life\ divorce mother resulting new little sister me
650,\nearaccident\ car driving fast icy road
651,mother friends speaking badly father separated brothers sisters allowed listen
652,bored school able marry children
653,mothers new husband treated brothers sisters badly
654,Stealing mothers purse little boy
655,RESPONSE
656,hospital visited unexpected
657,hunting lost fog mountains
658,accused misdemeanour unjustly
659,girlfriend left me
660,Slaughtering animals
661,entered wrong room got bed sleeping
662,failed agreed date
663,finally managed specific sound guitar baving tried long time
664,Climbing mountain got stuck realized down
665,Meeting generally dominating persons social occasions
666,Discovering Lillehammer provided musical environment suits taste told so
667,Cant describe disgust situation
